Name;Figure;m/z;rt(s);average Log2 fold change*;p-value$
Chlorogenic acid (CGA);Figure 2;355.1020272;203.422128;-0.238796644;0.0065647082
N’,N’’-dicaffeoylspermidine (DCS);Figure 2;470.2266317;140.1120551;7.4030221808;8.35484990537588E-009
N’,N’’-diferuloylspermidine (DFS);Figure 2;498.2586248;268.5754498;0.9491837804;4.05565678314577E-007
N-caffeoylputrescine (CP);Figure 2;251.1382095;115.8777127;3.604005086;1.72966716030096E-010
N-feruloylputrescine (FP);Figure 2;265.1530806;194.6073375;5.3705849299;2.09136673512552E-015
Phenylalanine;Figure 2;166.0856718;100.0322583;0.8779598328;2.84180427530639E-008
Rutin;Figure 2;611.1597729;257.8212278;-0.5447199298;1.08660821101312E-006
Unknown at m/z 347.19;Figure 2;347.1954305;244.6705962;4.4589057457;7.16999973783109E-013
Attenoside;Figure 2;939.4787010;358.3718699;-1.3075427877;5.80460932494645E-007
Lyciumoside I;Figure 2;653.3508242;448.4275568;-2.0239006892;4.96415723678026E-007
Lyciumoside IV;Figure 2;777.4250507;386.5325757;-1.4954728442;1.58712997213465E-009
Nicotianoside I;Figure 2;863.4247110;396.588293;1.068024221;6.98181698829829E-011
Nicotianoside II;Figure 2;949.4248876;403.6332927;5.8671604761;8.73966302745865E-021
Nicotianoside III;Figure 2;940.5134090;378.5440889;-1.6917538827;5.17480182025354E-006
Nicotianoside IV;Figure 2;1009.4827160;388.1061444;1.9754297813;7.87283735920003E-009
Nicotianoside V;Figure 2;1095.4842220;397.5981457;4.5760624259;9.97828401983085E-014
Nicotianoside VI;Figure 2;1025.4788100;365.4032509;1.5444304974;1.07654908308567E-009
Nicotianoside VII;Figure 2;1111.4802620;372.4433075;7.376853855;1.45825100507868E-017
Nicotine;Figure 2;163.1227511;57.66020941;-0.023950781;0.5782468998
O-acyl sugar type II;Figure S2, SI Appendix;589.2469568;417.7241569;-0.4108006179;0.0091453886
O-acyl sugar type II;Figure S2, SI Appendix;603.2609354;446.9048644;0.1579918778;0.3589934208
O-acyl sugar type II;Figure S2, SI Appendix;617.2772346;474.0694203;-0.0653652973;0.6253702213
O-acyl sugar type II;Figure S2, SI Appendix;631.2926481;505.5756499;0.1539899031;0.226311105
O-acyl sugar type II;Figure S2, SI Appendix;645.3078757;533.4226993;0.0397333378;0.7329770357
O-acyl sugar type II;Figure S2, SI Appendix;659.3235398;561.3194846;0.0619719092;0.5677567799
O-acyl sugar type III;Figure S2, SI Appendix;631.2571389;464.450569;0.411761181;0.0064128458
O-acyl sugar type III;Figure S2, SI Appendix;645.2717284;495.2000519;0.0692373944;0.5392911935
O-acyl sugar type III;Figure S2, SI Appendix;659.2878191;525.4002224;-0.046630661;0.7013216243
O-acyl sugar type III;Figure S2, SI Appendix;673.3031359;554.5477024;0.029661821;0.7798794422
O-acyl sugar type III;Figure S2, SI Appendix;687.3185333;582.7439444;-0.0494939382;0.6552860456
;;*13 replicates;;;
;;$Two-tailed unpaired t-test;;;
