;;;;;;;;PC1;0.00043307;-0.00046348;0.00010017;0.0002152;0.00025524;-0.00064766;-0.00053452;-6.69E-05;-0.00046095;0.00035983;-0.00049896;-0.00074766;-0.0005768;4.37E-05;0.00018;-0.0010543;-3.15E-05;-1.20E-05;-0.0004878;-0.00095023;7.31E-05;0.00024548;-0.00049399;-0.00034061;5.14E-05;1.03E-05;-0.00021855;-0.0003028;-0.00058527;0.00015676;-0.00083697;0.00018687;3.20E-05;0.00022141;0.00013332;-0.0011941;-0.00059008;-0.00068057;0.00013663;0.00050261;0.00031374;0.00041935;-0.00025055;0.00017372;-0.00018808;0.00011644;-1.43E-05;0.00015102;0.00021217;-8.25E-05;0.00027696;0.00021031;0.00024772;-0.00075027;-0.00062839;-0.00062664;-0.00049271;-0.00068701;0.0002432;9.61E-05;0.00014772;0.00029054;0.00012758;-0.00053458;-0.00061286;0.0002711;0.00011838;0.00020018;-0.00034051;-0.00069214;-0.00042694;-0.00056136;5.59E-05;0.00028141;-0.00033059;0.00023124;-0.00075942;8.51E-05;9.60E-05;0.00019127;-1.04E-05;0.00051839;-0.00065413;0.00012811;0.00028324;0.00016982;-8.33E-05;0.0011233;-0.0002598;-0.00045918;1.52E-05;0.00018757;-0.00069076;0.00024253;0.00020647;-0.00016172;0.00012004;4.31E-05;-0.00012089;-0.00015161;0.0016147;-0.0001872;0.00053678;0.00015956;-0.00044384;-3.37E-05;-9.41E-05;7.37E-05;-0.00042462;-4.60E-05;-0.00058257;-0.00024887;-9.47E-05;-0.00028868;-0.00015435;-0.0002545;-0.00028391;-0.00052196;-0.00032195;-0.00049983;-0.00040608;-0.00035207;-0.00012749;0.0002346;0.00013534;-3.37E-05;0.00014361;-1.06E-05;-9.82E-05;-3.99E-05;-4.95E-05;1.62E-05;5.63E-05;0.00023677;-7.63E-06;0.00025574;-9.98E-05;-0.00020515;2.22E-05;-0.00035388;-0.00042992;4.04E-05;8.80E-05;-0.00021486;1.46E-05;-0.0003344;-5.45E-05;9.29E-05;-0.00011496;-0.00080115;0.00011401;-0.00031304;0.0005997;-0.00053272;0.0020177;-0.00012738;0.00076152;0.00043543;3.62E-05;3.30E-05;8.66E-05;-0.00025246;0.00032804;7.45E-05;0.0015803;0.00017416;-7.37E-05;0.00018343;0.00013689;0.00037322;0.00014963;0.00034939;0.0030328;0.0020197;0.0025391;0.00045408;0.00074181;1.13E-05;-0.00019634;-4.02E-05;0.00038167;0.00050059;0.00032868;;;
;;;;;;;;PC2;0.00052047;0.00024851;0.0003008;-1.25E-05;-2.05E-05;-0.00021101;-0.00023549;6.56E-05;-4.43E-05;0.00043729;-0.00022452;-6.91E-05;0.00015905;0.00021289;0.00015686;-0.0002375;-1.16E-05;8.32E-05;-0.00028668;-0.00033824;9.78E-05;0.0001956;3.37E-05;-0.00026052;0.00019588;0.0007761;6.91E-05;0.00026964;0.00024469;-0.0001611;-0.00010588;-4.14E-05;0.00056735;0.00033468;0.00010656;-0.00034145;-0.00032568;-0.00013368;9.80E-05;0.00028984;0.00034389;0.00038988;0.00061227;0.0002561;7.72E-05;-0.00011613;-0.00011788;0.00040181;-0.000112;3.58E-05;0.00024243;-0.00015297;0.00048302;0.00013887;0.0002831;-0.00035921;-0.00017288;-6.40E-05;4.32E-05;-0.00048601;0.0010651;0.00088793;0.00044103;0.00036391;0.00011227;0.00071432;0.00069645;-6.86E-05;-3.46E-05;-0.00011262;1.38E-05;0.0002947;0.00014306;0.0010455;-6.41E-05;-0.00042632;-0.00022053;-8.44E-05;-3.62E-05;0.00049799;0.00023554;-7.61E-05;0.000215;0.00046248;0.00021865;0.00017735;0.00025401;-0.00020718;5.72E-05;0.00011935;-0.00043587;0.00018148;-0.00051839;-0.00054607;0.00013774;-1.58E-05;-0.00033926;-0.00038342;0.00011619;-0.00016821;-0.00038379;-0.00041806;-0.00049256;-0.00023245;0.00022746;2.38E-05;-8.08E-05;-0.00023887;-8.57E-05;-0.00044433;-0.00031522;4.44E-05;6.98E-05;-0.00014022;-0.00014501;-0.0003439;-0.00030364;-5.77E-06;-0.00056093;-0.00042424;-5.96E-05;-0.00024373;-9.27E-05;0.00020259;0.00021422;0.00023982;-3.12E-05;0.0002164;6.26E-05;0.00027738;-7.02E-05;0.00044587;0.00035479;0.00032044;0.00035933;0.00010191;-7.31E-06;-0.00024028;-0.00032758;-8.98E-05;-0.00025613;0.0001922;-0.00017023;-0.00022232;-5.89E-05;-0.00039929;-0.00038822;-0.00010681;-0.00031485;-0.00027261;-0.0002745;-0.00010114;-0.00051143;-0.00013318;-0.00053022;7.51E-05;-0.00022915;-0.00070922;-0.00023914;-3.67E-08;6.24E-05;-0.00046491;0.0004925;-0.00058201;-6.43E-06;-5.76E-06;0.00013627;-0.00040504;-0.00014194;9.23E-05;0.00020025;-0.00038691;-0.00040973;-0.00026003;-0.00016332;0.00020786;-0.00040943;0.000383;0.00029942;-0.00016072;-0.0002704;-7.89E-05;0.00029655;;;
;mz;mzmin;mzmax;rt;rtmin;rtmax;npeaks;Accession.72h;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;isotopes;adduct;pcgroup
1;84.96011778;84.95925538;84.96089794;46.4883239;45.01862045;48.27392295;118;118;1954.669095;2199.297142;2375.059878;2516.446474;2731.829632;2105.257551;2606.91913;2082.071534;2644.77789;2563.046058;2466.623744;2725.289793;2433.652302;2371.046711;2462.208097;2011.53141;2580.646226;2241.520778;3080.863762;1935.268874;2783.172025;2417.87093;1982.083924;2184.531453;2103.903783;1720.838825;1948.78313;2137.121701;2102.620431;2576.984162;2389.211963;2389.166599;1808.224014;2326.059179;2008.840921;1207.149489;3783.46555;1970.20705;2312.024059;2099.192981;2189.232187;1886.297828;1633.523062;2332.199471;2074.044317;2618.339024;2479.31404;1973.104062;2573.032804;2075.950093;2502.064096;2765.41429;2064.88028;1905.502938;1983.76295;3160.142639;4014.021918;2183.511485;2242.54089;4056.624594;1203.339103;1479.850131;1687.09324;1647.775885;1881.254476;1288.232014;1534.492986;2799.075246;2469.060093;2803.386477;2030.127654;1838.256461;2260.149166;1596.235245;2075.853851;2447.167038;3343.047538;2488.695779;2321.952102;1772.731841;1636.617209;2733.008271;1680.136221;1965.496531;2386.420594;2158.519581;1781.467357;2544.182825;2810.17364;1618.742928;3775.092958;2187.073729;1513.943192;3173.664452;2279.403769;2726.232523;2791.551199;2235.596392;2202.90618;2565.146306;3446.432089;3224.941157;2903.886612;3507.537262;2393.504063;2231.964857;2495.758035;2879.812;2494.023104;3989.996917;3240.644448;2193.433448;1857.905122;2355.049894;3054.573665;3303.208316;2944.748332;2696.560072;3011.482905;3792.186848;2175.254501;3169.012154;2578.908266;1718.816742;1890.129723;1711.507857;2695.103448;2039.421644;2246.342664;1848.215255;2243.528562;1793.45729;1826.872317;2211.458195;1937.305843;2217.077639;2541.833329;2963.906194;2839.440678;2807.499585;3350.153328;2363.436741;2240.411044;2602.716155;1971.365721;3179.888986;3448.35175;3217.264056;2572.784133;3393.906481;3013.545954;2809.921597;2853.749843;3292.040136;3141.18611;2168.700818;2203.376643;3825.373408;2579.203332;2639.636637;2085.940468;2728.538479;2382.53305;4346.970719;2532.527242;2820.517939;2533.463554;3336.05426;2363.781247;2921.663599;2523.375016;3637.714789;3091.746385;3759.06257;2795.794625;2472.589953;3358.439436;2073.616;1908.922688;3168.493312;2793.266324;3369.402986;2524.220111;;;14
2;90.97676807;90.97623842;90.97736029;11.8022893;0.593557813;22.11841162;391;158;2518.635375;8379.672556;11892.76722;15582.10941;23369.33204;16884.12223;10744.97174;11091.28293;17703.64344;7371.339481;9885.841838;9293.434152;11609.72328;14831.766;11803.54563;17325.71901;14656.17737;9759.344991;21029.35656;4484.23535;6436.982674;8130.816666;8380.376758;9541.398775;10926.21832;2518.635375;18192.40762;9750.281971;12474.17081;13675.89586;6133.115098;19524.15745;9783.052563;7939.625975;9807.131546;19726.70561;9940.562307;11611.57493;10461.2225;8985.946048;8951.155302;11072.5446;9181.640571;8275.959184;13148.02286;8634.959313;603.4827882;8515.451359;8822.872755;13160.7658;10484.06356;8621.797613;83.50183617;9600.481736;122.0614636;10500.15964;16957.87476;19250.0707;4120.696001;13087.2628;9527.19848;6594.428195;15562.79922;703.9422116;889.6237534;10577.1976;2518.635375;12285.62223;570.3076656;16965.16841;8791.269076;7991.225048;11871.68976;6794.423848;2518.635375;12846.14564;19866.64107;25025.26455;7293.29953;12147.56047;9985.361564;12078.50014;9042.646332;8741.863031;10983.57265;9253.024055;6692.688349;8816.19928;15524.10415;14356.29521;16254.75481;14522.29405;24720.31317;27240.9959;15909.07763;7724.803852;8077.645186;4486.638358;8591.87567;7609.65307;1691.091507;11002.15987;12142.03229;17547.12647;3394.275219;8390.606493;502.5477151;7649.095209;7697.07316;23433.50511;10337.92124;8616.492726;12347.82908;742.0534616;9243.266892;12826.27619;8720.044332;10399.89412;11047.98846;10735.93749;14457.93501;12222.7418;22021.13258;11476.08674;25399.66562;13936.52883;15990.16143;623.3783042;14942.04472;8444.973301;10804.5333;2518.635375;18255.53332;9735.220271;7456.359137;11499.96702;9937.788597;14032.17699;14440.28332;8321.294713;7724.069381;9008.065221;9047.059348;7842.136132;10863.7362;11502.7783;14810.72889;1010.073447;8340.024535;10137.9588;15391.23537;9710.710704;14281.19169;17733.56189;4187.431266;11665.58922;16439.33445;856.9642368;10549.25105;2518.635375;10955.54998;2518.635375;2518.635375;15466.06086;31914.87343;14674.08928;9588.886249;13049.90453;9318.89556;11556.09006;20629.0117;13047.04544;19771.1154;16795.09369;11958.50308;8354.735496;11421.75159;11558.23814;9658.419627;9979.651981;10596.95622;11366.54728;8038.600752;;;281
3;90.97677633;90.97628842;90.9773139;28.9072493;22.29845318;35.5693599;263;154;359.7168346;9052.61998;10161.65282;9924.5869;15107.67121;23640.00588;10223.77609;11511.64168;8711.37942;8019.656316;17559.83725;14581.05295;7591.978427;8099.072131;9164.966062;13835.82831;13745.32529;12268.83269;14928.65157;7911.654475;9654.005165;9946.342782;20263.64391;17408.38537;9499.485111;2518.635375;7757.800436;6650.789677;6293.435604;9567.234444;7438.703634;26337.06812;12968.94445;7248.85253;7386.828662;16716.61338;10619.29262;14673.52142;9250.143602;11891.50827;12962.57645;12241.83428;6762.474708;8443.609785;9748.896807;10252.87322;1553.31459;12318.74095;8991.460042;7836.06303;7550.482373;12720.26798;1120.511312;8728.041327;1633.298643;12311.93824;9455.454049;8708.724091;8939.024948;21007.79039;6876.552302;7502.303272;9589.042263;1680.808875;2151.527899;9039.786367;1116.001136;13324.43814;2285.757624;13191.54506;9678.126064;11890.34564;13431.46121;7229.914797;2518.635375;11122.8912;12854.85155;14171.51883;13795.37392;10694.50704;10554.89935;9194.89689;8987.160713;8502.245608;9942.606996;14005.98711;15711.88827;10044.49818;11014.18442;7388.703052;10272.60256;9604.547352;17346.53903;16125.44266;14182.77913;15108.79452;11620.8775;8012.494576;7812.848519;10932.78644;3541.459121;16207.86937;10851.30581;12098.08864;7309.30813;7822.167577;2131.06745;8853.268584;11854.67274;13157.73548;18459.48409;9213.411917;11092.1633;2106.580818;40554.21297;14490.49895;15265.85426;10765.10482;15084.73675;11843.18708;14694.84413;16215.82328;10777.65822;8468.087185;11571.97525;13868.49615;10120.11931;2022.822921;11804.62;47107.01693;12487.79021;322.6132166;7977.300857;16148.3743;6537.83824;19106.33224;7295.92282;11246.95776;15142.89617;8493.3683;9673.195104;16634.33795;6760.000965;14951.50084;12469.72688;22769.63668;13757.59542;2132.240531;11696.29881;10133.01909;9497.910169;10489.03846;13557.0454;14219.75083;10019.81317;6939.794108;9780.843189;3384.757375;9162.624219;2518.635375;13619.996;159.2659528;2518.635375;14282.57982;16586.79849;9124.43592;8165.142808;14630.85969;11442.32613;9621.489501;9318.10807;20012.21615;16793.31875;12245.90949;17321.46147;17661.38718;13857.36603;14342.52228;7554.726619;12246.85106;10251.12004;8713.43451;13559.86772;;;112
4;90.97677394;90.97622471;90.97725695;42.42999876;35.68752287;43.78532349;190;171;5126.809829;6584.832366;15198.85667;18608.89728;9450.690376;15946.87423;16323.80929;9779.803904;10403.78224;9680.94076;14359.26551;7270.750462;7438.549604;7411.661645;11230.4728;17064.16457;13010.85797;15481.75074;14389.62783;13077.39324;14416.64748;11429.39325;14785.84261;21260.07632;55077.64185;417.3144948;8701.23434;7636.115387;8610.757914;9666.017464;7775.418101;12189.2168;37315.33417;13353.52371;9093.326593;19642.17517;13574.07502;8940.558737;7280.2566;7454.117668;9599.59569;7387.149319;4464.389202;50264.13581;11720.0326;61237.87772;4945.236305;7609.327871;21495.44777;18348.06917;11954.0073;10396.12325;3419.800678;7515.013626;3363.679896;11078.29017;10406.24851;12104.58767;11643.3813;15167.31348;10598.35433;9988.209452;12130.7387;2973.217081;3327.196623;8926.773051;5125.135053;11208.909;6755.343695;12928.83469;16207.8148;9836.650591;10067.14969;6943.141599;570.3219649;12851.98185;10172.87932;9848.160147;8572.542609;9331.450015;13408.59587;9020.273837;11128.10273;10562.26379;22169.55392;11513.69227;10256.91333;9927.462519;12735.99156;7179.336564;12385.0765;14896.01834;20070.92453;13310.2694;8599.331582;11020.53557;12847.92978;5255.616667;7299.460852;13435.25379;6606.560344;14615.93464;11083.53374;13675.41411;8068.066928;8419.211358;2160.573644;9415.579675;8310.891442;36991.4844;23397.99132;9300.582851;8387.706621;4237.818523;9428.774662;13193.58344;11342.60221;12302.82297;16582.26339;16348.49653;16261.11385;14344.86931;7580.683654;10832.16853;8966.715532;7648.982119;10597.93681;3024.01022;12495.90149;8598.450558;9153.464043;3467.793372;24870.07541;14748.43141;10221.44395;14982.4414;9373.880306;10897.09339;13244.65466;14127.58357;8249.146039;11516.8532;7902.903622;12697.79953;11472.12045;23014.04121;13480.14548;4159.459139;9176.554647;11022.82652;9666.011998;12840.67602;18310.79317;11565.01187;35992.51708;10617.56198;9948.140801;4872.729722;9327.932328;124.7664305;11853.60744;3830.111949;1883.362373;15607.87398;11174.99093;14144.12531;12069.14793;23180.00254;15665.59702;12830.73306;8523.076425;12208.09928;14348.17856;14850.37371;11082.48576;9595.199084;15608.11853;10766.16654;8407.852802;10058.13841;10650.45304;8126.825939;13696.40016;;[M+2Na]2+ 135.975 [M+H-HCOOH]+ 135.975;5
5;101.0237147;101.0229676;101.0258586;98.81193259;92.30508571;100.3560937;126;118;4064.794606;5042.144045;2832.97976;5630.835191;1247.69711;1785.666667;2070.647439;2818.927823;3385.861059;2141.949494;2463.157077;1911.523416;2402.944312;2242.060626;3155.190554;2266.590257;1463.841292;812.4209274;2021.354621;1166.63701;2620.144087;3347.881392;1347.104193;2411.450878;1003.879809;2583.148245;1768.054102;1930.793588;2301.722857;3049.680624;5005.348775;1480.149741;1687.927596;2659.964129;2230.945371;1269.341124;3180.149125;3768.140578;3145.545481;2500.87959;1808.579175;4877.306387;6314.509252;1340.461908;3255.122952;1012.685621;1884.483348;2762.925134;998.6850539;2532.509877;1066.486121;2974.922747;588.1239192;1717.885608;2934.115366;1834.513513;1049.249254;4404.028237;6176.510773;563.6304729;2436.990778;2224.471887;3349.928574;10237.01243;11040.29602;7328.216091;4047.385942;2855.09324;2582.310389;2764.758121;2585.299945;6968.52737;884.6182668;1574.768664;4479.762037;2914.599437;1864.954023;3737.471448;672.101776;3823.701161;1737.95773;3349.001311;4050.987122;3573.415176;2407.766202;1737.412657;1121.943715;4789.414241;1358.402697;5381.668494;865.8060827;1316.979351;824.5421587;3351.878699;1964.937089;1258.500739;2141.119866;4324.561505;1108.050316;1124.34124;794.7236313;1656.309581;4309.853513;2314.895588;1008.562915;4031.131943;1085.843016;1091.009175;2095.494999;1240.057249;883.4098126;2073.878925;1349.805882;5258.533921;1685.101117;549.014852;2074.57065;2806.724606;1108.977822;4207.961642;2195.58793;3332.080264;2251.916565;2086.172096;1333.291442;2108.909386;1386.108314;1306.046911;1636.180487;2101.833889;1292.146031;1851.667332;2620.830949;1657.296253;2140.350744;2959.02962;1155.698511;1797.665742;2169.851318;7626.195535;4408.428542;4071.776886;2752.258386;2066.621744;3987.765009;7032.223617;5368.991166;1890.387246;5495.963352;1493.452998;1797.069385;2023.447223;463.8376534;981.4126812;1456.085635;662.3259324;3938.52372;2636.447583;5245.844417;1050.929259;3525.602663;3910.90008;3218.84914;2161.346998;1805.726766;904.1571233;1188.350276;3977.11651;3129.178025;4662.206069;1299.292623;2389.624343;2135.388647;1667.62553;3800.183544;3380.958225;1322.32;1089.665939;2058.099626;362.0405136;2288.960588;2620.826166;2604.153642;;[M+H-H20]+ 118.028;75
6;105.0703111;105.0695773;105.0710823;159.1557581;155.8317531;163.2132741;183;183;24634.18188;37718.00652;24139.28338;25972.10654;13136.57202;9865.438245;9778.405998;14600.56619;21314.89126;15807.31851;13881.95543;17790.15863;23010.82445;33091.04989;13440.30287;5580.581934;24171.67055;20648.55481;8578.253215;4623.067681;17664.64151;26309.5446;10100.32923;13826.28179;27779.05133;24767.54452;16138.67328;14766.80047;23008.8012;30613.56914;50021.7414;15335.02416;7468.492235;42127.96226;25904.48095;4392.792543;24198.35639;12152.68797;18150.3816;38490.73227;28452.44537;25472.50266;21687.22981;20735.53953;16222.00257;16806.5605;24387.69975;18765.85064;24127.53494;25631.45731;19683.35489;14806.19862;17564.73412;18436.67944;32779.93016;10470.79745;29901.90701;27669.95123;55111.02942;26084.82588;25354.03033;20759.6954;24717.13142;51498.57149;39744.07955;26660.74492;20552.21001;17169.56316;28736.00245;28064.40553;24510.64671;58031.38413;34970.89938;25932.65965;87197.94787;59426.86797;14187.30598;25152.00639;15557.55457;27944.91968;19814.33984;14463.7377;33233.52159;15903.82433;12682.81587;27645.8161;23473.50844;17482.9982;22179.44385;29153.80054;7564.047814;25764.45795;4007.070486;19031.0933;9284.380079;20476.8078;9779.63586;10913.67958;12803.98563;26360.10002;13083.85146;17118.11117;6442.023359;15983.46987;22981.8362;22235.56089;19569.2804;11132.65985;24879.00843;41208.48451;48225.42853;19978.65097;24864.32453;114506.0851;33803.69044;26324.16859;38946.36711;30516.57656;13644.06415;13774.92605;22315.31478;20644.51111;19761.06162;23212.74451;20118.49079;19455.88064;22380.42192;27052.4648;22977.94632;23326.99704;19827.44142;22086.44795;27236.70238;20939.4814;25314.1523;24243.32793;21022.5318;52760.65322;18414.96894;18547.91556;14992.38551;28356.65922;11521.09715;11584.95416;26554.51635;21238.25937;11849.53962;16602.41144;13124.27504;13670.35427;16177.77164;26191.21718;6073.269776;22286.5639;26946.05429;26209.73359;15334.39538;9419.747054;37772.63195;18174.56832;9450.907951;11644.25037;11330.92497;12886.76932;11255.62957;12586.1932;15812.61799;12421.8159;15821.29153;16379.47624;18833.00066;9705.745179;7595.7099;13396.53224;7122.583689;20487.41596;10617.62462;23116.78824;19360.77882;16403.00275;8820.357074;10303.12158;9085.469638;[129][M]+;[M+H]+ 104.063;25
7;106.0655147;106.0644987;106.0664705;58.04222576;55.53053227;70.61672368;222;130;2694.051943;3233.543678;2570.304494;1798.912361;2629.28434;2066.125971;3220.591343;3400.282172;4899.013249;2037.918745;3363.759872;2401.493875;2698.018967;2863.659322;1934.87015;2417.644483;4121.993038;3323.355829;2835.169766;1513.225797;3335.64439;2883.461198;2443.959782;3567.218374;2357.527295;3674.683532;2854.204963;2616.00199;3093.53604;4094.760258;3670.696266;3105.50676;4610.699482;4076.553104;2610.945791;1153.307116;3857.337523;4058.680728;3418.903396;1562.796598;4814.093109;2554.245825;3101.121602;4791.159701;4464.292628;3457.658582;5005.922536;4528.034456;2931.545291;3302.900741;3097.081133;3059.037164;3357.999422;2154.426307;3210.057385;3500.294395;2531.464908;2975.839836;4165.178361;5185.288131;2690.830011;1586.818687;2225.120703;3033.625657;2068.532597;2322.628237;3355.104334;2965.675326;1601.559591;4343.878117;2876.173585;1999.92147;3783.080604;1865.690636;5427.480273;2900.595266;5632.245356;3641.577227;2951.999706;1761.302424;2015.748669;1971.460447;2352.011637;2332.329612;2604.84194;2391.889533;3876.029468;1790.099721;2564.105706;3369.601503;4642.623198;1592.650874;1031.403987;2542.904934;1237.98403;3326.943093;3107.788927;3156.287061;3677.59206;3919.990374;2256.520508;2926.89257;1931.56042;2488.223952;2453.588184;3294.153847;2656.961368;4129.623095;3265.833981;3746.109495;4660.16365;3171.102094;2260.771157;3215.561872;4601.426283;3725.839463;4140.146433;3196.942047;3735.7512;5112.63018;3291.358149;3274.223568;4401.341487;3335.798929;1957.366465;2766.894683;3465.251779;3488.028447;2812.832213;2509.425156;2770.639038;3542.223615;3023.137034;2926.394729;2542.626948;3327.223533;3876.010962;4122.75906;3184.63937;2319.0426;2180.837654;2872.157047;3200.508442;1923.79526;2840.189938;3290.889281;2365.16372;1508.139317;2248.44177;4161.94316;2391.656134;2575.344436;2041.124107;3749.420098;4088.807984;2730.869607;1802.393445;2139.64694;1723.373195;1740.419275;2691.664868;2434.261996;4441.555374;6123.947922;4163.336913;4162.125967;3425.414498;2539.838385;2360.933458;3129.699048;2324.686707;4405.943734;1759.178372;2047.55618;1864.921548;2908.333321;2492.684335;2311.164101;2393.402102;2812.37341;3421.083848;2603.980143;1968.156003;;;1
