mz;rt;intensity;pcgroup_precursorMZ
106.0652507;74.66211423;40.80501468;1 _ 132.0817871
117.0578554;75.16579527;41.14194425;1 _ 132.0817871
120.0812298;74.66099587;25.91994713;1 _ 132.0817871
130.0652819;74.66155505;83.82221092;1 _ 132.0817871
131.0688;75.04220166;9.2079928;1 _ 132.0817871
132.0817871;74.66211423;100;1 _ 132.0817871
120.0812298;74.66099587;59.46760155;1 _ 193.0350346
121.0657587;76.48424557;100;1 _ 193.0350346
138.0903616;75.63861563;86.01766992;1 _ 193.0350346
120.0812298;74.66099587;56.8351716;1 _ 210.0605862
121.0657587;76.48424557;95.57333762;1 _ 210.0605862
210.0605862;74.77222572;100;1 _ 210.0605862
178.0492293;75.26874392;80.16855705;1 _ 488.2385327
232.0956292;75.48341057;67.45633251;1 _ 488.2385327
249.122541;75.48222668;100;1 _ 488.2385327
470.2280115;75.26461729;89.08703544;1 _ 488.2385327
488.2385327;75.62070332;71.75845275;1 _ 488.2385327
106.0647246;57.10246633;35.58900065;2 _ 132.0814003
117.057274;57.13727626;33.41099741;2 _ 132.0814003
120.0804425;58.40185428;21.71274857;2 _ 132.0814003
130.0642853;57.08474288;73.37573463;2 _ 132.0814003
132.0814003;57.10246633;100;2 _ 132.0814003
115.0390906;56.34825116;15.7830766;2 _ 136.0625039
118.0854486;57.3431119;19.6093155;2 _ 136.0625039
129.0181086;56.17640214;19.92018714;2 _ 136.0625039
130.0642853;57.08474288;19.14380179;2 _ 136.0625039
132.0814003;57.10246633;24.57655882;2 _ 136.0625039
133.0496222;56.35022864;19.5341092;2 _ 136.0625039
136.0625039;55.55296631;100;2 _ 136.0625039
106.0647246;57.10246633;10.51882872;2 _ 163.122747
117.057274;57.13727626;9.875089285;2 _ 163.122747
120.0804425;58.40185428;6.41750763;2 _ 163.122747
130.0642853;57.08474288;21.68722837;2 _ 163.122747
131.0677064;57.18832168;2.372615388;2 _ 163.122747
132.0814003;57.10246633;29.55640373;2 _ 163.122747
133.0496222;56.35022864;2.665648177;2 _ 163.122747
133.0819926;57.00945398;2.778486048;2 _ 163.122747
163.122747;57.2083086;100;2 _ 163.122747
129.0181086;56.17640214;100;2 _ 193.0350244
118.0854486;57.3431119;70.67004108;2 _ 210.06142
129.0181086;56.17640214;71.79039183;2 _ 210.06142
210.06142;58.73857564;100;2 _ 210.06142
115.0390906;56.34825116;56.88065306;2 _ 215.016208
210.06142;58.73857564;100;2 _ 215.016208
115.0390906;56.34825116;56.88065306;2 _ 217.0683861
210.06142;58.73857564;100;2 _ 217.0683861
124.9909716;58.95278395;51.69597008;2 _ 230.989292
210.06142;58.73857564;54.18968622;2 _ 230.989292
215.016208;58.81672912;100;2 _ 230.989292
129.0181086;56.17640214;57.0035694;2 _ 233.0443197
133.0496222;56.35022864;55.37549538;2 _ 233.0443197
189.0396334;58.80999555;46.93408322;2 _ 233.0443197
201.0094152;56.70222351;67.00008191;2 _ 233.0443197
217.0683861;55.93537797;100;2 _ 233.0443197
126.9712025;57.73376208;51.33921233;2 _ 263.0173815
144.9834603;57.71505151;32.67128138;2 _ 263.0173815
145.0495961;55.74371127;56.04235339;2 _ 263.0173815
172.9767695;58.16464931;100;2 _ 263.0173815
189.0396334;58.80999555;18.89014785;2 _ 263.0173815
208.9956041;57.61638037;43.71591988;2 _ 263.0173815
233.0443197;56.60480832;72.39902093;2 _ 263.0173815
245.0012193;57.73487195;19.94955506;2 _ 263.0173815
247.1808496;55.92240361;66.93467134;2 _ 263.0173815
251.0162435;55.78046794;27.15784234;2 _ 263.0173815
263.0173815;55.51826421;47.58125714;2 _ 263.0173815
163.1180726;120.2785899;100;3 _ 163.1180726
163.1180726;120.2785899;39.26836356;3 _ 163.1223194
163.1223194;115.0298981;100;3 _ 163.1223194
89.03687352;117.270871;18.07533531;3 _ 251.1388488
107.0489637;117.0844329;6.254571114;3 _ 251.1388488
117.0335488;117.3860972;26.61865871;3 _ 251.1388488
118.038171;118.7764571;5.52888752;3 _ 251.1388488
135.0439184;117.657172;43.34674483;3 _ 251.1388488
136.047628;117.657172;5.597886618;3 _ 251.1388488
145.028901;117.2706961;18.19400959;3 _ 251.1388488
163.0387349;117.6844016;100;3 _ 251.1388488
164.0418521;117.6750437;12.67697591;3 _ 251.1388488
234.111127;117.2635729;15.76745147;3 _ 251.1388488
235.1141344;116.5359987;4.088661477;3 _ 251.1388488
251.1388488;117.8724752;24.99279828;3 _ 251.1388488
100.0750952;185.968074;76.41221656;4 _ 470.2274293
129.1379791;185.9632006;50.86199503;4 _ 470.2274293
211.0751657;186.6527294;33.02837676;4 _ 470.2274293
233.0979559;183.4478837;23.01628614;4 _ 470.2274293
239.0694675;186.9712465;95.44334521;4 _ 470.2274293
257.0803826;185.9583273;41.39425695;4 _ 470.2274293
258.0848683;184.9515048;40.68535473;4 _ 470.2274293
263.0702306;186.6409435;64.19153634;4 _ 470.2274293
281.0790336;186.4647869;71.47929345;4 _ 470.2274293
283.0620287;185.9583273;78.90622694;4 _ 470.2274293
299.0908864;185.968074;33.07406773;4 _ 470.2274293
353.1470129;186.4647869;31.85638046;4 _ 470.2274293
354.1327378;186.9712465;44.47088956;4 _ 470.2274293
356.1475576;185.4549161;100;4 _ 470.2274293
